CategoryName,ProductName
"Beverages","Guaran? Fant?stica"
"Beverages","Ipoh Coffee"
"Beverages","C?te de Blaye"
"Beverages","Lakkalik??ri"
"Beverages","Outback Lager"
"Beverages","Steeleye Stout"
"Beverages","Chai"
"Beverages","Chang"
"Beverages","Laughing Lumberjack Lager"
"Beverages","Sasquatch Ale"
"Beverages","Rh?nbr?u Klosterbier"
"Beverages","Chartreuse verte"
"Condiments","Chef Anton's Cajun Seasoning"
"Condiments","Grandma's Boysenberry Spread"
"Condiments","Vegie-spread"
"Condiments","Gula Malacca"
"Condiments","Louisiana Fiery Hot Pepper Sauce"
"Condiments","Aniseed Syrup"
"Condiments","Sirop d'?rable"
"Condiments","Original Frankfurter gr?ne So?e"
"Condiments","Louisiana Hot Spiced Okra"
"Condiments","Northwoods Cranberry Sauce"
"Condiments","Chef Anton's Gumbo Mix"
"Condiments","Genen Shouyu"
"Confections","Zaanse koeken"
"Confections","NuNuCa Nu?-Nougat-Creme"
"Confections","Valkoinen suklaa"
"Confections","Maxilaku"
"Confections","Gumb?r Gummib?rchen"
"Confections","Chocolade"
"Confections","Teatime Chocolate Biscuits"
"Confections","Tarte au sucre"
"Confections","Sir Rodney's Scones"
"Confections","Sir Rodney's Marmalade"
"Confections","Scottish Longbreads"
"Confections","Schoggi Schokolade"
"Confections","Pavlova"
"Dairy Products","Queso Cabrales"
"Dairy Products","Gudbrandsdalsost"
"Dairy Products","Mozzarella di Giovanni"
"Dairy Products","Gorgonzola Telino"
"Dairy Products","Queso Manchego La Pastora"
"Dairy Products","Raclette Courdavault"
"Dairy Products","Fl?temysost"
"Dairy Products","Geitost"
"Dairy Products","Mascarpone Fabioli"
"Dairy Products","Camembert Pierrot"
"Grains/Cereals","Wimmers gute Semmelkn?del"
"Grains/Cereals","Singaporean Hokkien Fried Mee"
"Grains/Cereals","Tunnbr?d"
"Grains/Cereals","Ravioli Angelo"
"Grains/Cereals","Filo Mix"
"Grains/Cereals","Gnocchi di nonna Alice"
"Grains/Cereals","Gustaf's Kn?ckebr?d"
"Meat/Poultry","Mishi Kobe Niku"
"Meat/Poultry","P?t? chinois"
"Meat/Poultry","Perth Pasties"
"Meat/Poultry","Alice Mutton"
"Meat/Poultry","Tourti?re"
"Meat/Poultry","Th?ringer Rostbratwurst"
"Produce","R?ssle Sauerkraut"
"Produce","Manjimup Dried Apples"
"Produce","Longlife Tofu"
"Produce","Uncle Bob's Organic Dried Pears"
"Produce","Tofu"
"Seafood","Ikura"
"Seafood","Inlagd Sill"
"Seafood","Jack's New England Clam Chowder"
"Seafood","Escargots de Bourgogne"
"Seafood","Konbu"
"Seafood","Nord-Ost Matjeshering"
"Seafood","Spegesild"
"Seafood","Carnarvon Tigers"
"Seafood","R?gede sild"
"Seafood","Gravad lax"
"Seafood","Boston Crab Meat"
"Seafood","R?d Kaviar"
