City,Country
"Buenos Aires","Argentina"
"Graz","Austria"
"Salzburg","Austria"
"Charleroi","Belgium"
"Bruxelles","Belgium"
"Rio de Janeiro","Brazil"
"S?o Paulo","Brazil"
"Resende","Brazil"
"Campinas","Brazil"
"Vancouver","Canada"
"Tsawassen","Canada"
"Montr?al","Canada"
"K?benhavn","Denmark"
"?rhus","Denmark"
"Helsinki","Finland"
"Oulu","Finland"
"Marseille","France"
"Versailles","France"
"Toulouse","France"
"Strasbourg","France"
"Lille","France"
"Lyon","France"
"Reims","France"
"Paris","France"
"Nantes","France"
"K?ln","Germany"
"Frankfurt a.M.","Germany"
"Stuttgart","Germany"
"Cunewalde","Germany"
"Brandenburg","Germany"
"Berlin","Germany"
"Aachen","Germany"
"M?nster","Germany"
"M?nchen","Germany"
"Mannheim","Germany"
"Leipzig","Germany"
"Cork","Ireland"
"Torino","Italy"
"Reggio Emilia","Italy"
"Bergamo","Italy"
"M?xico D.F.","Mexico"
"Stavern","Norway"
"Warszawa","Poland"
"Lisboa","Portugal"
"Madrid","Spain"
"Sevilla","Spain"
"Barcelona","Spain"
"Br?cke","Sweden"
"Lule?","Sweden"
"Gen?ve","Switzerland"
"Bern","Switzerland"
"Cowes","UK"
"London","UK"
"Walla Walla","USA"
"Butte","USA"
"Seattle","USA"
"San Francisco","USA"
"Lander","USA"
"Boise","USA"
"Eugene","USA"
"Elgin","USA"
"Kirkland","USA"
"Portland","USA"
"Anchorage","USA"
"Albuquerque","USA"
"Barquisimeto","Venezuela"
"San Crist?bal","Venezuela"
"I. de Margarita","Venezuela"
"Caracas","Venezuela"
